source_id,source_name,RA,DEC,z_spec_HETDEX,z_hetdex_src,z_hetdex_conf,source_type,detectid,selected_det,det_type,line_id,RA_det,DEC_det,src_separation,n_members,gmag_err,gmag,Av,ebv,wave,wave_err,flux,flux_err,flux_obs,flux_obs_err,flux_aper,flux_aper_err,flux_aper_obs,flux_aper_obs_err,flag_aper,sigma,sigma_err,continuum,continuum_err,continuum_obs,continuum_obs_err,sn,sn_err,chi2,chi2_err,flux_noise_1sigma_obs,flux_noise_1sigma,apcor,counterpart_mag,counterpart_mag_err,counterpart_dist,counterpart_catalog_name,counterpart_filter_name,plya_classification,best_z,best_pz,z_diagnose,cls_diagnose,stellartype,agn_flag,wave_group_id,wave_group_a,wave_group_b,wave_group_pa,wave_group_ra,wave_group_dec,wave_group_wave,fwhm,throughput,shotid,field,date,obsid,multiframe,fiber_id,weight,x_raw,y_raw,x_ifu,y_ifu,ra_aper,dec_aper,catalog_name_aper,filter_name_aper,dist_aper,mag_aper,mag_aper_err,major,minor,theta,file,pr,class,Type,ID,pr_2,class_2,Type_2,pr_3,class_3,Type_3,pr_4,class_4,Type_4,pr_5,class_5,Type_5,pr_6,class_6,Type_6,pr_7,class_7,Type_7,mean_pr,prob,class_mean_pr,class_median_pr,class_median_pr_0.6,class_median_pr_0.7,class_median_pr_0.8,all_equal,count_class_1,count_class_0,majority_vote,RA ,DEC ,ALPHA_J2000_y,DELTA_J2000_y,Separation,z_phot,SC_ip_MAG_APER3
2140000000583,HETDEX J100106.77+021508.7,150.2781982421875,2.2524070739746094,2.611299991607666,elixer,0.949999988079071,oii,2100550219,True,line,,150.27801513671875,2.252350091934204,0.0001916340843308,10,25.39495086669922,25.39495086669922,0.045491699129343,0.0165906995534896,4483.169921875,0.6600000262260437,14.808286666870115,2.3524365425109863,13.608386039733888,2.161820888519287,8.108407020568848,0.289434015750885,7.683265209197998,0.2742583453655243,0,3.490000009536743,0.6200000047683716,0.0301594473421573,0.1206377893686294,0.0277156550437212,0.1108626201748848,6.289999961853027,0.8899999856948853,0.9900000095367432,0.2199999988079071,2.196054697036743,2.317513942718506,0.7758379578590393,25.245210647583008,0.1619865596294403,0.947679042816162,DECAM/COSMOS,g,0.9990000128746032,2.6878182888031006,0.949999988079071,-999.0,UNKNOWN,n,-1.0,214000122,0.0001279663410969,4.164106576354243e-05,36.37171173095703,150.2781982421875,2.252510070800781,4481.5751953125,1.8901759386062624,0.1527000069618225,20181120013,cosmos,20181120,13,multi_321_042_030_LU,20181120013_2_multi_321_042_030_LU_100,0.2117000073194503,500,910,7.630000114440918,-24.239999771118164,150.27806091308594,2.252347469329834,HyperSuprimeCam_,r,0.7020366191864014,25.79574966430664,0.1745813339948654,1.5376538038253784,0.8689050078392029,0.4734163880348205,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/108448_876293_COSMOS_SUB_064.jpg,0.11448827,0.0,LAE,876293,0.27197188,0.0,LAE,0.023961032,0.0,LAE,0.034091268,0.0,LAE,0.12541121,0.0,LAE,0.18258479,0.0,LAE,0.151536,0.0,LAE,,0.12541121,0.0,0.0,0.0,0.0,0.0,True,146632,45194,0.0,150.2782312788602,2.252413991896707,150.2782312788602,2.252413991896707,0.1214216302507519,2.8423,25.514929
2140000002740,HETDEX J100028.95+021132.2,150.12062072753906,2.192291021347046,2.6916089057922363,elixer,0.949999988079071,lae,2100544408,True,line,Lya,150.12049865722656,2.192257881164551,0.0001264438906218,6,24.616838455200195,24.616838455200195,0.0497228689491748,0.018133794888854,4486.0498046875,0.2899999916553497,30.657777786254883,1.8666549921035769,27.920759201049805,1.7000066041946411,,,,,-1,4.230000019073486,0.3400000035762787,0.1623178273439407,0.0811589136719703,0.1478266566991806,0.0739133283495903,13.170000076293944,0.8700000047683716,0.9900000095367432,0.2199999988079071,2.0036394596099854,2.1249868869781494,0.9426990151405334,25.039440155029297,0.131551519036293,0.355491042137146,DECAM/COSMOS,u,0.9990000128746032,2.6901872158050537,0.949999988079071,0.2030890136957168,GALAXY,n,-1.0,214000669,0.0001013077344396,1.5373947462649085e-05,21.14665031433105,150.12060546875,2.1922898292541504,4485.77783203125,1.3091036081314087,0.1506000012159347,20181115017,cosmos,20181115,17,multi_008_093_054_RU,20181115017_2_multi_008_093_054_RU_053,0.4365000128746032,495,500,-10.170000076293944,19.82999992370605,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/97779_809172_COSMOS_SUB_065.jpg,0.13351752,0.0,LAE,809172,0.17159766,0.0,LAE,0.19264117,0.0,LAE,0.121570006,0.0,LAE,0.23071185,0.0,LAE,0.29841363,0.0,LAE,0.37630773,0.0,LAE,,0.19264117,0.0,0.0,0.0,0.0,0.0,True,146632,45194,0.0,150.12050504902638,2.1922645020946936,150.12050504902638,2.1922645020946936,0.4269485842911488,2.7757,24.6116
2140000004256,HETDEX J100047.77+021528.4,150.19903564453125,2.2578823566436768,2.6105527877807617,elixer,0.949999988079071,lae,2100660839,True,line,Lya,150.19906616210938,2.2578399181365967,5.228788359090686e-05,5,25.70258331298828,25.70258331298828,0.0460244379937648,0.0167849883437156,4387.64013671875,0.4399999976158142,11.760817527770996,1.8124206066131592,10.886709213256836,1.677714705467224,,,,,-1,2.1700000762939453,0.4600000083446502,-0.1294586211442947,0.1195002570748329,-0.1198367625474929,0.1106185466051101,9.369999885559082,1.0299999713897705,1.4800000190734863,0.25,1.563542127609253,1.6530226469039917,0.9287408590316772,25.742218017578125,0.1995726376771927,0.4756739735603332,DECAM/COSMOS,u,0.9990000128746032,2.609236240386963,0.949999988079071,0.1771407425403595,GALAXY,n,-1.0,214001035,0.0001034874658216,3.156145248794928e-05,-54.21400451660156,150.1990509033203,2.2578771114349365,4387.87060546875,1.6878654956817627,0.1459999978542328,20190105022,cosmos,20190105,22,multi_322_063_062_RL,20190105022_3_multi_322_063_062_RL_078,0.2554999887943268,451,699,-11.4399995803833,4.409999847412109,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/109345_882398_COSMOS_SUB_065.jpg,0.10992834,0.0,LAE,882398,0.25491405,0.0,LAE,0.06324872,0.0,LAE,0.054355364,0.0,LAE,0.14122994,0.0,LAE,0.23091309,0.0,LAE,0.162481,0.0,LAE,,0.14122994,0.0,0.0,0.0,0.0,0.0,True,146632,45194,0.0,150.19893896867242,2.2577882151547968,150.19893896867242,2.2577882151547968,0.4855909680760006,2.641,25.25506
2140000004264,HETDEX J100057.88+021442.8,150.24114990234375,2.2452187538146973,3.443528175354004,elixer,0.9456212520599364,lae,2100660532,True,line,Lya,150.24119567871094,2.245152950286865,8.00879715825431e-05,5,26.4395751953125,26.4395751953125,0.0457266457378864,0.0166763830929994,5399.14990234375,0.7300000190734863,11.162969589233398,1.7301627397537231,10.71784496307373,1.6611720323562622,,,,,-1,4.099999904632568,0.800000011920929,-0.1466239541769027,0.0781994387507438,-0.1407773047685623,0.0750812217593193,5.730000019073486,0.949999988079071,0.9800000190734864,0.209999993443489,1.6423587799072266,1.713282346725464,0.9264678359031676,25.6630973815918,0.2050460278987884,0.5541343092918396,DECAM/COSMOS,g,0.9881747364997864,3.441295623779297,0.949999988079071,-999.0,UNKNOWN,n,-1.0,214001046,6.764586578356102e-05,4.2335319449193776e-05,-6.894228458404541,150.24111938476562,2.2452216148376465,5400.783203125,1.6878654956817627,0.1459999978542328,20190105022,cosmos,20190105,22,multi_301_052_072_RL,20190105022_2_multi_301_052_072_RL_090,0.2432000041007995,968,820,7.630000114440918,2.200000047683716,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/107376_869170_COSMOS_SUB_064.jpg,0.80278575,1.0,NONLAE,869170,0.7544571,1.0,NONLAE,0.8383399,1.0,NONLAE,0.80970705,1.0,NONLAE,0.8371719,1.0,NONLAE,0.8779898,1.0,NONLAE,0.8403952,1.0,NONLAE,,0.8371719,0.0,1.0,0.0,0.0,0.0,False,146632,45194,1.0,150.2410315024021,2.245151800180424,150.2410315024021,2.245151800180424,0.4893858113608015,3.3617,24.669147
2140000007834,HETDEX J100043.93+022225.8,150.18304443359375,2.373844623565674,2.664636850357056,elixer,0.949999988079071,lae,2100709127,True,line,Lya,150.18289184570312,2.373810052871704,0.0001562819088576,4,26.287744522094727,26.287744522094727,0.0461298860609531,0.0168234445154666,4454.02978515625,0.3499999940395355,13.837413787841797,1.235138773918152,13.23917293548584,1.1817392110824585,,,,,-1,3.319999933242798,0.3300000131130218,0.1061447337269783,0.0675466582179069,0.1015557199716568,0.0646263659000396,7.980000019073486,1.0099999904632568,1.0,0.2199999988079071,1.691971778869629,1.7875555753707886,0.9491567611694336,23.72266387939453,0.0689602196216583,0.5193154811859131,DECAM/COSMOS,r,0.9990000128746032,2.663847684860229,0.949999988079071,0.1945849806070327,GALAXY,n,-1.0,214002017,0.0001898904592962,4.305044421926141e-05,-10.972310066223145,150.1830596923828,2.3738362789154053,4453.47412109375,1.2000000476837158,0.1174999997019767,20190201014,cosmos,20190201,14,multi_308_047_024_LL,20190201014_1_multi_308_047_024_LL_096,0.5375999808311462,480,875,5.079999923706055,-11.020000457763672,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/126557_1008619_COSMOS_SUB_077.jpg,0.624506,1.0,NONLAE,1008619,0.42416012,0.0,LAE,0.44737628,0.0,LAE,0.49654,0.0,LAE,0.811739,1.0,NONLAE,0.5540706,1.0,NONLAE,0.37107435,0.0,LAE,,0.49654,0.0,0.0,0.0,0.0,0.0,False,146632,45194,0.0,150.18300755129766,2.373800846292435,150.18300755129766,2.373800846292435,0.2060011649762016,2.5196,25.143402
2140000008036,HETDEX J100050.50+021353.4,150.21041870117188,2.2314913272857666,2.490840673446656,elixer,0.949999988079071,lae,2100680895,True,line,Lya,150.21043395996094,2.231220006942749,0.000271714729024,4,24.160606384277344,24.160606384277344,0.0455620139837265,0.0166163425892591,4243.1201171875,0.3799999952316284,12.11047649383545,2.146409511566162,11.300764083862305,2.002899646759033,,,,,-1,1.7799999713897705,0.5600000023841858,0.1575346440076828,0.1279968917369842,0.1470018029212951,0.119438961148262,6.119999885559082,1.0800000429153442,1.0299999713897705,0.25,2.391320943832397,2.531147003173828,0.8642396330833435,23.4663028717041,0.0361489132046699,1.9106868505477903,DECAM/COSMOS,r,0.6860858201980591,2.4903552532196045,0.3721716105937958,-999.0,UNKNOWN,n,-1.0,214002079,0.0001967938296729,4.1692546801641583e-05,-78.99122619628906,150.2104034423828,2.231484651565552,4242.10498046875,2.466540813446045,0.1447000056505203,20190112023,cosmos,20190112,23,multi_324_062_055_RU,20190112023_1_multi_324_062_055_RU_052,0.1750999987125396,374,488,-7.630000114440918,19.82999992370605,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/104753_852195_COSMOS_SUB_065.jpg,0.9578509,1.0,NONLAE,852195,0.42454484,0.0,LAE,0.8013144,1.0,NONLAE,0.4326764,0.0,LAE,0.7399825,1.0,NONLAE,0.5672343,1.0,NONLAE,0.53494346,1.0,NONLAE,,0.5672343,0.0,1.0,0.0,0.0,0.0,False,146632,45194,0.0,150.21035834609833,2.2314425277883387,150.21035834609833,2.2314425277883387,0.2792867668533972,2.3123,26.2364
2140000008039,HETDEX J100101.48+022256.2,150.2561798095703,2.382288694381714,2.318789005279541,elixer,0.793133556842804,lae,2100617463,True,line,Lya,150.25607299804688,2.3823800086975098,0.0001404795475536,4,24.317983627319336,24.317983627319336,0.0497324839234352,0.01813730224967,4035.610107421875,0.6399999856948853,15.541861534118652,1.9363964796066284,14.02192497253418,1.7470239400863647,,,,,-1,4.809999942779541,0.7400000095367432,0.0811056047677993,0.0709674134850502,0.073173776268959,0.0640270560979843,6.239999771118164,0.8500000238418579,1.0099999904632568,0.2300000041723251,1.966365456581116,2.097844123840332,0.928839921951294,24.8989315032959,0.0982828587293624,0.7667796015739441,DECAM/COSMOS,u,0.8874881267547607,2.3196592330932617,0.7749762535095215,-999.0,UNKNOWN,n,-1.0,214002083,0.0001331778039457,6.427886546589434e-05,-7.425876617431641,150.2561798095703,2.382287740707397,4034.399169921875,1.3032970428466797,0.1604000031948089,20181215031,cosmos,20181215,31,multi_318_026_078_LL,20181215031_1_multi_318_026_078_LL_052,0.3109999895095825,271,484,17.799999237060547,-6.610000133514404,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/127810_1018287_COSMOS_SUB_076.jpg,0.2412137,0.0,LAE,1018287,0.33771515,0.0,LAE,0.032457095,0.0,LAE,0.11830844,0.0,LAE,0.121469215,0.0,LAE,0.16682056,0.0,LAE,0.17792775,0.0,LAE,,0.16682056,0.0,0.0,0.0,0.0,0.0,True,146632,45194,0.0,150.2561896066913,2.382215525142669,150.2561896066913,2.382215525142669,0.2657559717392003,2.4029,23.721647
2140000008043,HETDEX J100029.04+021408.0,150.12098693847656,2.2355494499206543,2.434831380844116,elixer,0.949999988079071,lae,2100680214,True,line,Lya,150.12103271484375,2.235733985900879,0.0001900032075354,4,25.65744400024414,25.65744400024414,0.049639768898487,0.018103489652276,4175.52001953125,0.550000011920929,13.202766418457031,2.4835901260375977,12.191408157348633,2.293342351913452,,,,,-1,2.1700000762939453,0.550000011920929,0.2086215764284134,0.1490153968334198,0.1926407516002655,0.1376005411148071,5.78000020980835,0.949999988079071,0.9700000286102296,0.25,2.75028395652771,2.9284987449646,0.8632785081863403,25.811134338378903,0.0534202121198177,1.279628872871399,DECAM/COSMOS,u,0.969783902168274,2.4347479343414307,0.9395677447319032,-999.0,UNKNOWN,n,-1.0,214002087,0.0001117223582696,4.7344441554741934e-05,73.6580581665039,150.12098693847656,2.2355453968048096,4175.0126953125,2.466540813446045,0.1447000056505203,20190112023,cosmos,20190112,23,multi_032_094_028_LU,20190112023_2_multi_032_094_028_LU_022,0.1541000008583068,340,199,7.630000114440918,-15.420000076293944,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/105678_857810_COSMOS_SUB_065.jpg,0.14015873,0.0,LAE,857810,0.1973732,0.0,LAE,0.078356996,0.0,LAE,0.08682458,0.0,LAE,0.29843366,0.0,LAE,0.26697847,0.0,LAE,0.31288895,0.0,LAE,,0.1973732,0.0,0.0,0.0,0.0,0.0,True,146632,45194,0.0,150.12107918555165,2.2354159267491984,150.12107918555165,2.2354159267491984,0.5840994485101036,2.3764,24.27699
2140000008044,HETDEX J100027.19+021731.7,150.11329650878906,2.292142629623413,2.288896322250366,elixer,0.949999988079071,lae,2100660146,True,line,Lya,150.11328125,2.292180061340332,4.054214514326304e-05,4,25.79355812072754,25.79355812072754,0.0480222031474113,0.0175135675817728,3997.02001953125,0.550000011920929,17.091188430786133,2.21226167678833,15.95890998840332,2.0657010078430176,,,,,-1,3.640000104904175,0.5299999713897705,0.1076764613389968,0.1076764613389968,0.1005429700016975,0.1005429700016975,6.409999847412109,0.9300000071525574,0.9900000095367432,0.2199999988079071,2.2403180599212646,2.385971784591675,0.9278296232223512,24.98845863342285,0.0884410515427589,0.6475504636764526,DECAM/COSMOS,u,0.9990000128746032,2.287915229797364,0.949999988079071,-999.0,UNKNOWN,n,-1.0,214002088,0.0001184797583846,3.4531076380517334e-05,-54.203250885009766,150.11331176757812,2.292135715484619,3994.98974609375,1.6878654956817627,0.1459999978542328,20190105022,cosmos,20190105,22,multi_017_086_022_RL,20190105022_3_multi_017_086_022_RL_105,0.2304999977350235,257,944,19.06999969482422,0.0,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/114286_920040_COSMOS_SUB_065.jpg,0.23746948,0.0,LAE,920040,0.26619053,0.0,LAE,0.38023904,0.0,LAE,0.22341444,0.0,LAE,0.41306263,0.0,LAE,0.3629667,0.0,LAE,0.35446987,0.0,LAE,,0.35446987,0.0,0.0,0.0,0.0,0.0,True,146632,45194,0.0,150.1134555785833,2.2920375137349547,150.1134555785833,2.2920375137349547,0.6860062063285398,2.174,24.923786
2140000008201,HETDEX J100106.81+021530.8,150.27838134765625,2.258552074432373,3.438270568847656,elixer,0.0039527188055217,lae,2100544787,True,line,Lya,150.27830505371094,2.258692979812622,0.0001601774856681,4,25.762813568115234,25.762813568115234,0.0457741767168045,0.0166937187314033,5392.6201171875,0.7099999785423279,12.781657218933104,1.866434454917908,12.274651527404783,1.7923994064331057,,,,,-1,4.659999847412109,0.8399999737739563,0.0879471749067306,0.0781752690672874,0.0844586119055748,0.0750743225216865,6.53000020980835,0.9200000166893004,1.0499999523162842,0.2300000041723251,1.5459272861480713,1.612876057624817,0.9388010501861572,24.242992401123047,0.0922289192676544,0.1728362292051315,DECAM/COSMOS,g,0.5067694783210754,3.4359242916107178,0.0135389035567641,-999.0,UNKNOWN,n,-1.0,214002150,0.0001398045424139,2.015465361182578e-05,-67.83098602294922,150.27838134765625,2.2585482597351074,5394.29296875,1.3091036081314087,0.1506000012159347,20181115017,cosmos,20181115,17,multi_320_032_020_RL,20181115017_1_multi_320_032_020_RL_020,0.4399999976158142,954,186,-12.710000038146973,11.020000457763672,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/109598_884363_COSMOS_SUB_064.jpg,0.9363242,1.0,NONLAE,884363,0.7493846,1.0,NONLAE,0.8803184,1.0,NONLAE,0.8509677,1.0,NONLAE,0.87749606,1.0,NONLAE,0.8601959,1.0,NONLAE,0.7784505,1.0,NONLAE,,0.8601959,0.0,1.0,0.0,0.0,0.0,False,146632,45194,1.0,150.27833947284284,2.258750595134185,150.27833947284284,2.258750595134185,0.7303764383816491,3.3232,23.922625
2140000009228,HETDEX J100029.40+021611.8,150.1225128173828,2.2699337005615234,2.928800106048584,elixer,0.949999988079071,oii,2100671641,True,line,Lya,150.1224365234375,2.269853115081787,0.0001111559613491,4,23.600069046020508,23.600069046020508,0.0484152026474475,0.0176568925380706,4773.7900390625,0.8100000023841858,11.83036994934082,2.12415623664856,11.174853324890137,2.006457567214966,10.112520217895508,0.4588885307312011,9.587091445922852,0.4350454807281494,1,4.0,0.8899999856948853,0.245851382613182,0.098340556025505,0.2322288751602172,0.092891551554203,5.579999923706055,0.8700000047683716,1.0299999713897705,0.2300000041723251,1.8161565065383911,1.91550612449646,0.8836849927902222,24.82662773132324,0.0904872417449951,0.258010596036911,DECAM/COSMOS,u,0.4698356091976166,2.928800106048584,0.949999988079071,-999.0,UNKNOWN,n,-1.0,214002470,0.0001892289437819,8.375676407013088e-05,29.47105026245117,150.1225128173828,2.269911766052246,4771.8623046875,2.2273199558258057,0.1485999971628189,20190108013,cosmos,20190108,13,multi_027_085_001_RU,20190108013_3_multi_027_085_001_RU_086,0.1712999939918518,640,788,5.079999923706055,15.420000076293944,150.12242126464844,2.269865036010742,HyperSuprimeCam_,r,0.2396706342697143,23.137420654296875,0.0414924062788486,3.1479508876800537,2.438528299331665,0.5910281538963318,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/111320_897487_COSMOS_SUB_065.jpg,0.74509877,1.0,NONLAE,897487,0.4813288,0.0,LAE,0.50929564,1.0,NONLAE,0.575518,1.0,NONLAE,0.53720015,1.0,NONLAE,0.70285994,1.0,NONLAE,0.57712203,1.0,NONLAE,,0.575518,0.0,1.0,0.0,0.0,0.0,False,146632,45194,1.0,150.12245487258423,2.269802578802339,150.12245487258423,2.269802578802339,0.5160100971488638,2.9009,23.27678
2140000016774,HETDEX J100054.20+021418.5,150.225830078125,2.238485336303711,2.946518659591675,elixer,0.9440829753875732,lae,2100757462,True,line,Lya,150.22567749023438,2.238503932952881,0.000153624030645,3,27.0751953125,27.0751953125,0.0455472692847251,0.0166109651327133,4798.06982421875,0.5099999904632568,11.037123680114746,1.5937012434005735,10.36208152770996,1.496228814125061,,,,,-1,2.869999885559082,0.5099999904632568,-0.0296962987631559,0.0890889093279838,-0.0278800409287214,0.0836401283740997,5.989999771118164,1.0099999904632568,0.9800000190734864,0.209999993443489,1.986032247543335,2.0873892307281494,0.9087989926338196,25.76848602294922,0.2331768721342086,0.5915520191192627,DECAM/COSMOS,u,0.9984525442123412,2.946852207183838,0.949999988079071,-999.0,UNKNOWN,n,-1.0,214004722,0.0001210055852425,9.465306357014924e-05,12.813457489013672,150.22584533691406,2.238490581512451,4797.216796875,1.9734103679656985,0.1509999930858612,20190209021,cosmos,20190209,21,multi_301_052_072_RU,20190209021_2_multi_301_052_072_RU_069,0.2311999946832656,651,631,-1.2699999809265137,17.6299991607666,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/106223_861537_COSMOS_SUB_065.jpg,0.4284893,0.0,LAE,861537,0.4586383,0.0,LAE,0.4060349,0.0,LAE,0.50395924,1.0,NONLAE,0.43910387,0.0,LAE,0.4356481,0.0,LAE,0.46859103,0.0,LAE,,0.43910387,0.0,0.0,0.0,0.0,0.0,False,146632,45194,0.0,150.2258174025088,2.2384737558304604,150.2258174025088,2.2384737558304604,0.0617831205993633,2.8466,24.291523
2140000016870,HETDEX J100104.54+021731.2,150.26893615722656,2.291998863220215,2.763012409210205,elixer,0.949999988079071,lae,2100757534,True,line,Lya,150.26898193359375,2.291934013366699,7.921343058114871e-05,3,26.31463623046875,26.31463623046875,0.0474905222654342,0.0173196643590927,4575.68017578125,0.6100000143051147,12.847585678100586,1.9439126253128047,12.050128936767578,1.82325291633606,,,,,-1,3.3399999141693115,0.5600000023841858,0.2368218451738357,0.0986757725477218,0.2221221774816513,0.0925509110093116,5.519999980926514,0.8700000047683716,0.9900000095367432,0.2300000041723251,2.131817579269409,2.252300977706909,0.9047265648841858,25.39877891540528,0.1657074987888336,0.2386384904384613,DECAM/COSMOS,u,0.9990000128746032,2.761899948120117,0.949999988079071,-999.0,UNKNOWN,n,-1.0,214004750,0.0001136553619289,3.204345557605848e-05,89.99748229980469,150.26895141601562,2.2920138835906982,4573.3251953125,1.9734103679656985,0.1509999930858612,20190209021,cosmos,20190209,21,multi_310_033_002_LU,20190209021_1_multi_310_033_002_LU_037,0.249099999666214,541,337,19.06999969482422,-17.6299991607666,,,,,,,,,,,/home/bcerqueira/Documents/RESEARCH/FLAEMING/data/32x32/predictions/pred/GRI/114181_919305_COSMOS_SUB_064.jpg,0.35631606,0.0,LAE,919305,0.3852545,0.0,LAE,0.3310027,0.0,LAE,0.30268943,0.0,LAE,0.42128712,0.0,LAE,0.37379238,0.0,LAE,0.42826876,0.0,LAE,,0.37379238,0.0,0.0,0.0,0.0,0.0,True,146632,45194,0.0,150.26890369023874,2.2919057071220568,150.26890369023874,2.2919057071220568,0.3551154683302084,2.7149,24.505695
